6,0.0988528,0.107737,0.0927358,0.0972712,0.0927314,0.107082,0.0994246,0.109696,0.0908977,0.077038,0.0904314,0.0895723,0.0749426,0.0933908,0.0915533,0.100722,0.0869046,0.0986566,0.0881302,0.083606,0.100445,0.0784016,0.0889679,0.0995698,0.0799766,0.0821084,0.0873295,0.086048,0.0816425,0.0965952,0.093344,0.0936783,0.0940592,0.0901218,0.0852843,0.081203,0.0957215,0.0883677,0.116791,0.087814,0.107873,0.0768371,0.0904005,0.0854038,0.0870862,0.0918241,0.0895021,0.085614,0.11361,0.0875205
12,0.0988528,0.107737,0.0927358,0.0972712,0.0927314,0.107082,0.0994246,0.109696,0.0923163,0.077038,0.0904314,0.0895723,0.0749426,0.0933908,0.0915533,0.100722,0.0869046,0.0986566,0.0885249,0.0968405,0.100445,0.0784016,0.0889679,0.0995698,0.0799766,0.0821084,0.0873295,0.0878157,0.0816425,0.0965952,0.093344,0.0936783,0.0940592,0.0901218,0.101045,0.081203,0.0957215,0.0883677,0.116791,0.087814,0.107873,0.0768371,0.0904005,0.0854038,0.0870862,0.0918241,0.0895021,0.0873282,0.11361,0.0875205
18,0.0988528,0.107737,0.0927358,0.0972712,0.0927314,0.107082,0.0994246,0.109696,0.0923163,0.0873865,0.0904314,0.0896265,0.0749426,0.0933908,0.0915533,0.100722,0.0984604,0.0986566,0.0885249,0.0968405,0.100445,0.0784016,0.0893403,0.0995698,0.0799766,0.0821084,0.0873295,0.0949107,0.0816425,0.0965952,0.093344,0.0936783,0.0940592,0.0949109,0.101045,0.081203,0.0957215,0.0883677,0.116791,0.087814,0.107873,0.0768371,0.102076,0.0854038,0.0870862,0.0918241,0.0895021,0.0873282,0.11361,0.0875205
24,0.0988528,0.107737,0.0927358,0.0972712,0.0944378,0.107082,0.0994246,0.109696,0.0923163,0.0873865,0.0907663,0.0896265,0.0749426,0.0933908,0.0915533,0.100722,0.0984604,0.0986566,0.0885249,0.0968405,0.100445,0.0804336,0.0893403,0.0995698,0.0799766,0.0821084,0.0873295,0.0949107,0.0885849,0.0965952,0.093344,0.0936783,0.0940592,0.0949109,0.101045,0.081203,0.0957215,0.0883677,0.116791,0.087814,0.111409,0.0768371,0.102076,0.0854038,0.0870862,0.0918241,0.0895021,0.0873282,0.11361,0.0875205
30,0.0988528,0.107737,0.0927358,0.0972712,0.0944378,0.107082,0.0994246,0.109696,0.0923163,0.0873865,0.0907663,0.0896265,0.0749426,0.0933908,0.112265,0.100722,0.0984604,0.0986566,0.0885249,0.0968405,0.100445,0.0804336,0.0893403,0.0995698,0.0843104,0.0821084,0.0873295,0.0949107,0.0885849,0.0965952,0.093344,0.0936783,0.0940592,0.0949109,0.101045,0.081203,0.0957215,0.0883677,0.116791,0.087814,0.111409,0.0798545,0.102076,0.0854038,0.0870862,0.0918241,0.0895021,0.0873282,0.11361,0.0875205
36,0.0988528,0.107737,0.0927358,0.0972712,0.0944378,0.107082,0.0994246,0.11042,0.0923163,0.0873865,0.0907663,0.0896265,0.0749426,0.0933908,0.112265,0.100722,0.0984604,0.0986566,0.0885249,0.0968405,0.100445,0.0804336,0.0893403,0.0995698,0.0843104,0.0821084,0.0873295,0.102933,0.0885849,0.0965952,0.093344,0.0936783,0.0967287,0.0949109,0.101045,0.081203,0.0957215,0.0883677,0.116791,0.105437,0.111409,0.0798545,0.102076,0.0854038,0.0870862,0.0918241,0.0895021,0.0873282,0.11361,0.0875205
42,0.0988528,0.107737,0.0927358,0.0972712,0.0944378,0.107082,0.0994246,0.11042,0.0923163,0.0873865,0.0907663,0.0896265,0.0762384,0.105484,0.112265,0.100722,0.0984604,0.0986566,0.0885249,0.0968405,0.100445,0.0835532,0.0893403,0.0995698,0.0843104,0.0846793,0.0873295,0.102933,0.0885849,0.0965952,0.093344,0.0936783,0.0967287,0.0949109,0.101045,0.081203,0.0957215,0.107785,0.116791,0.105437,0.111409,0.0798545,0.102076,0.0854038,0.0870862,0.0918241,0.0936578,0.0873282,0.11361,0.0875205
48,0.0988528,0.107737,0.0927358,0.0972712,0.0944378,0.107082,0.0994246,0.11042,0.0923163,0.0873865,0.0907663,0.0896265,0.0762384,0.105484,0.112265,0.100722,0.0984604,0.0986566,0.0885249,0.0968405,0.100445,0.0835532,0.0893403,0.0995698,0.0843104,0.0846793,0.0873295,0.104092,0.0885849,0.0965952,0.093344,0.0936783,0.0967287,0.0949109,0.101045,0.0837082,0.0957215,0.107785,0.116791,0.105437,0.111409,0.0832776,0.102076,0.0854038,0.0870862,0.0918241,0.0936578,0.0873282,0.128075,0.0875205
54,0.0988528,0.107737,0.0927358,0.0972712,0.0944378,0.107082,0.0994246,0.11042,0.0923163,0.0873865,0.0907663,0.0896265,0.0762384,0.105484,0.112265,0.100722,0.0984604,0.0986566,0.0885249,0.0968405,0.100445,0.0835532,0.0893403,0.0995698,0.0843104,0.0846793,0.0873295,0.104092,0.0885849,0.0965952,0.093344,0.0936783,0.0967287,0.0949109,0.101045,0.0837082,0.0957215,0.107785,0.116791,0.105437,0.111409,0.0832776,0.102076,0.0858131,0.0870862,0.0918241,0.0936578,0.0873282,0.128075,0.0875205
60,0.0988528,0.107737,0.0927358,0.0972712,0.0944378,0.107082,0.0994246,0.11042,0.0923163,0.0873865,0.0907663,0.0896265,0.0837066,0.105484,0.112265,0.100722,0.0984604,0.0986566,0.0885249,0.0968405,0.100445,0.0835532,0.0893403,0.0995698,0.0843104,0.0846793,0.0873295,0.104092,0.0885849,0.0965952,0.093344,0.0936783,0.0967287,0.0949109,0.101045,0.0837082,0.0957215,0.107785,0.116791,0.105437,0.126594,0.0832776,0.102076,0.0964126,0.0870862,0.0918241,0.0936578,0.0895955,0.128075,0.0875205
