r,theta,mu,nu,residual
1.530000000000000027e+00,5.636017220540089134e+00,1.000000000000000021e-02,1.000000000000000021e-02,-3.161931154971468061e+01
1.510000000000000009e+00,5.636017220540089134e+00,1.000000000000000021e-02,1.000000000000000021e-02,-3.161724724519921992e+01
1.560000000000000053e+00,5.654866776461627609e+00,1.000000000000000021e-02,1.000000000000000021e-02,-3.160935405273625776e+01
1.560000000000000053e+00,5.661149961768807692e+00,1.000000000000000021e-02,1.000000000000000021e-02,-3.160878640266044926e+01
1.550000000000000044e+00,5.642300405847269218e+00,1.000000000000000021e-02,1.000000000000000021e-02,-3.160751427370532340e+01
1.550000000000000044e+00,5.667433147075986888e+00,1.000000000000000021e-02,1.000000000000000021e-02,-3.160694391421784744e+01
1.520000000000000018e+00,5.661149961768807692e+00,1.000000000000000021e-02,1.000000000000000021e-02,-3.160675994372119746e+01
1.540000000000000036e+00,5.667433147075986888e+00,1.000000000000000021e-02,1.000000000000000021e-02,-3.160664128989144572e+01
1.510000000000000009e+00,5.654866776461627609e+00,1.000000000000000021e-02,1.000000000000000021e-02,-3.160594417640125542e+01
1.540000000000000036e+00,5.636017220540089134e+00,1.000000000000000021e-02,1.000000000000000021e-02,-3.160536992890627417e+01
1.500000000000000000e+00,5.642300405847269218e+00,1.000000000000000021e-02,1.000000000000000021e-02,-3.160276940656342859e+01
1.520000000000000018e+00,5.629734035232909939e+00,1.000000000000000021e-02,1.000000000000000021e-02,-3.160193582623113784e+01
1.500000000000000000e+00,5.636017220540089134e+00,1.000000000000000021e-02,1.000000000000000021e-02,-3.160120280195833331e+01
1.510000000000000009e+00,5.629734035232909939e+00,1.000000000000000021e-02,1.000000000000000021e-02,-3.160082752930017946e+01
1.560000000000000053e+00,5.648583591154448413e+00,1.000000000000000021e-02,1.000000000000000021e-02,-3.159930067110035168e+01
1.560000000000000053e+00,5.667433147075986888e+00,1.000000000000000021e-02,1.000000000000000021e-02,-3.159751940917730195e+01
1.530000000000000027e+00,5.667433147075986888e+00,1.000000000000000021e-02,1.000000000000000021e-02,-3.159659226375649155e+01
1.500000000000000000e+00,5.648583591154448413e+00,1.000000000000000021e-02,1.000000000000000021e-02,-3.159428686483616033e+01
1.530000000000000027e+00,5.629734035232909939e+00,1.000000000000000021e-02,1.000000000000000021e-02,-3.159301087617244974e+01
1.500000000000000000e+00,5.629734035232909939e+00,1.000000000000000021e-02,1.000000000000000021e-02,-3.158966667679063178e+01
1.570000000000000062e+00,5.661149961768807692e+00,1.000000000000000021e-02,1.000000000000000021e-02,-3.158487543194462788e+01
1.510000000000000009e+00,5.661149961768807692e+00,1.000000000000000021e-02,1.000000000000000021e-02,-3.158173967519280367e+01
1.550000000000000044e+00,5.636017220540089134e+00,1.000000000000000021e-02,1.000000000000000021e-02,-3.158148479679559628e+01
1.570000000000000062e+00,5.654866776461627609e+00,1.000000000000000021e-02,1.000000000000000021e-02,-3.158059297039675428e+01
1.550000000000000044e+00,5.673716332383166971e+00,1.000000000000000021e-02,1.000000000000000021e-02,-3.158023612856461781e+01
1.560000000000000053e+00,5.642300405847269218e+00,1.000000000000000021e-02,1.000000000000000021e-02,-3.157871486806743633e+01
1.570000000000000062e+00,5.667433147075986888e+00,1.000000000000000021e-02,1.000000000000000021e-02,-3.157839465104060750e+01
